id,lat,lon,name
1163834793,32.018606,34.77084,Weizmann/HaHistadrut
1172170671,32.024295,34.765658,HaMa'apilim/Dov Hoz Blvd
1172170673,32.021319,34.76503,Eilat/Tse'elim
1172170683,32.023971,34.7656,HaMa'apilim/Dov Hoz
1257352012,32.037502,34.777816,Holon Junction Rail Station/Levi Eshkol
1450227164,32.029383,34.772064,HaLohamim/HaLohamim Square
1450858913,32.022893,34.773517,Sokolov/Kugel Boulevard
1450858914,32.022926,34.77213,Sokolov/Kugel Boulevard
1450858916,32.023474,34.764737,Dov Hoz/HaMa'apilim
1450858917,32.023502,34.767987,Dov Hoz/Henrietta Szold
1460568020,32.023234,34.764536,Dov Hoz/HaMa'apilim
1468503917,32.014968,34.762025,Yoseftal Rail Station
1477010582,31.998082,34.767431,Ben Gurion/Rabinovich
1477010584,31.99857,34.767241,Ben Gurion/Rabinovich
1499257718,32.024101,34.774317,Kugel Boulevard/Sokolov
1499257732,32.026968,34.773716,Kugel Boulevard/HaLohamim
1523868118,32.0112349,34.7941553,Yerushalayim Blvd/Moshe Sharett
1523868189,32.0120926,34.7969646,Hamelaha/Ha'Orgim
1523868533,32.019269,34.803092,Hamelaha/HaPeled
1523880243,32.027394,34.798346,HaShiv'a Road/HaMachtesh to the East
1596140870,32.035433,34.767471,HaLohamim/Tel Giborim
1601549025,32.02016,34.76507,Eilat/Tse'elim
1621003114,32.023202,34.761875,Dov Hoz/Giv'ati
1627144221,32.006283,34.804331,HaManor/HaRokmim
1627144277,32.031482,34.76957,HaMa'apilim/HaLohamim
1656103288,32.028522,34.765867,HaBanim/Har'el
1656103296,32.028679,34.765417,HaBanim/HaMa'apilim
1656103342,32.032366,34.767903,Tel Giborim/Hametsuda
1656103343,32.032499,34.763024,Hametsuda/Hazit Hamesh
1656103363,32.032915,34.767739,Tel Giborim/Hametsuda
1656103369,32.033495,34.766304,Hametsuda/HaHavatselet
1672039163,32.028159,34.773348,Kugel Boulevard/HaLohamim
1672039164,32.037191,34.778231,Holon Junction Rail Station
1680886998,32.01799,34.771621,HaHistadrut/Weizmann
1682345355,32.018508,34.765826,HaHistadrut/Eilat
1687419133,32.001519,34.767782,Aharonovich/Moshe Dayan
1687419135,32.002074,34.767637,Aharonovich/Moshe Dayan
1687419141,32.004726,34.766861,Max veJessi Hacohen/Aharonovich
1687419143,32.004807,34.766992,Max veJessi Hacohen/Aharonovich
1687419154,32.006547,34.764681,Eilat/HaTana'im
1687419156,32.00737,34.764541,Eilat/Ha'Avoda
1687419158,32.008714,34.764842,Tomashin High School/Eilat
1687419159,32.009724,34.764827,Tomashin High School/Eilat
1687419163,32.011319,34.764836,Eilat/David Remez
1687419165,32.012542,34.765012,Eilat/Yoseftal
1687419173,32.016556,34.764993,Eilat/Hatserim
1687419174,32.018119,34.764759,Eilat/HaHistadrut
1692822619,32.030302,34.774231,Levi Eshkol/HaLohamim Square
1707714195,32.023693,34.774573,Kugel Boulevard/Sokolov
1707737451,32.024706,34.765541,HaMa'apilim/Dov Hoz
1740901113,32.016918,34.770573,Holon Municipality/Weizmann
1746148164,32.010647,34.765017,Eilat/David Remez
1802985800,32.007466,34.768544,Aharonovich/HaZionut
1802985804,32.003911,34.768094,Aharonovich/Begin
1802985812,32.009258,34.769097,Aharonovich/David Remez
1802985813,32.010679,34.769511,Aharonovich/David Remez
1802985818,32.012722,34.769841,Aharonovich/Hoofien
1802985822,32.012333,34.769673,Aharonovich/Hoofien
1802985826,32.00712,34.768546,Aharonovich/HaTsiyonut
1802988221,32.013952,34.764801,Eilat/Yoseftal
1802989013,32.010091,34.790094,Alufe Tsahal/Bethlehem
1802989014,32.010288,34.789727,Alufe Tsahal/Bethlehem
1802989015,32.00989,34.793173,Alufe Tsahal/Moshe Sharett
1802989016,32.010108,34.7930378,Alufe Tsahal/Moshe Sharett
1802989018,32.010316,34.786046,Alufe Tsahal/David Elazar
1802989019,32.01046,34.786748,Alufe Tsahal/David Elazar
1802991738,32.002796,34.765612,Arba Aratsot/Dolfin
1802991739,32.002586,34.763274,Arba Aratsot/HaSanhedrin
1802991740,32.002567,34.764842,Arba Aratsot/Zerubavel
1802991893,31.999531,34.773188,Erlich/Moshe Dayan
1802992640,32.004363,34.771845,Begin/Bareket
1802992641,32.004598,34.772704,Begin/Bareket
1802994476,32.036288,34.763276,Wolfson Hospital
1802994485,32.036342,34.762698,Wolfson Hospital
1802994900,32.0088,34.77422,National Insurance/Bareket
1802995006,32.010704,34.774591,בית ספר גולדה מאיר/ברקת
1802995302,32.008708,34.786729,Sharett School/Keren HaYesod
1802995834,32.008178,34.773862,National Insurance/Bareket
1803001811,32.015004,34.792407,Bezalel/HaNevi'im
1803002308,32.004109,34.773431,Bar Lev/Begin
1803002337,32.001096,34.773368,Bar Lev/Moshe Dayan
1803003000,32.005562,34.773783,Bareket/Begin
1803003002,32.012567,34.774731,Bareket/Hoofien
1803003315,32.016384,34.785136,Ge'ulim/HaHistadrut
1803003316,32.016145,34.784668,Ge'ulim/HaHistadrut
1803003320,32.017527,34.7867351,Ge'ulim/Yerushalayim Boulevard
1803003321,32.017834,34.786912,Ge'ulim/Yerushalayim Boulevard
1803003427,32.007387,34.790705,Giv'at Hatahmoshet/Keren HaYesod
1803003428,32.007669,34.790876,Giv'at Hatahmoshet/Keren HaYesod
1803005815,32.014918,34.795287,Dvora HaNevi'a/HaNevi'im
